id,type,common,latin,tags,desc,treat
coconut_bud_rot,oomycete,Coconut Bud Rot,Phytophthora palmivora,whole;rot_soft;black;wilting;wet;humid;spreading_fast,"The unopened spear leaf at the crown rots and can be pulled out easily, releasing a foul odor, while surrounding fronds yellow and droop — often fatal to the palm if not caught early.","Remove and burn severely affected palms, apply copper fungicide to the crown of neighboring at-risk palms, improve drainage around the base, avoid crown injury during maintenance."
coconut_stem_rot,fungal,Coconut Basal Stem Rot (Thanjavur Wilt),Ganoderma spp.,root;stem;canker;brown;wilting;whole,"A reddish-brown to black rot develops at the base of the coconut trunk, with fronds yellowing and drooping progressively over months to years as the internal tissue decays.","Remove and destroy severely infected palms including stumps and roots, avoid replanting coconut in the same spot immediately, improve drainage, isolate healthy palms with trenching where feasible."
rice_blast,fungal,Rice Blast,Magnaporthe oryzae,leaf_any;stem;spots_circular;gray;brown;humid;wet;spreading_fast,"Diamond-shaped spots with gray centers and brown margins form on leaves, and infection at the neck node can snap the panicle entirely, one of the most damaging rice diseases in Sri Lanka.","Use resistant varieties, avoid excess nitrogen fertilization, maintain proper water management, apply fungicide at tillering and booting stages in high-risk conditions."
rice_bacterial_blight,bacterial,Bacterial Leaf Blight (Rice),Xanthomonas oryzae pv. oryzae,leaf_any;leaf_blight;streak;yellow;wet;humid;spreading_fast,"Water-soaked streaks starting at leaf tips or margins turn yellow-white and expand into wavy-edged blighted patches, spreading rapidly during warm, wet, windy weather.","Use resistant varieties and certified disease-free seed, avoid excess nitrogen, maintain balanced water levels, avoid field work when leaves are wet, remove infected stubble after harvest."
rice_sheath_blight,fungal,Sheath Blight (Rice),Rhizoctonia solani,leaf_lower;stem;spots_irregular;gray;brown;humid;wet;warm,"Irregular, greenish-gray lesions with brown borders form on the leaf sheath near the waterline, climbing upward in dense, humid stands and reducing grain fill.","Avoid overly dense planting and excess nitrogen, maintain good field drainage between irrigations, apply fungicide at panicle initiation in high-risk fields, rotate with non-host crops."
pepper_foot_rot,oomycete,Foot Rot / Quick Wilt (Black Pepper),Phytophthora capsici,root;stem;whole;wilting;rot_soft;black;wet;humid;spreading_fast,"Black pepper vines wilt and collapse rapidly, sometimes within days, with blackened, rotted roots and a water-soaked lesion girdling the stem base — a major cause of vine loss in Sri Lankan pepper cultivation.","Improve drainage around vine bases, avoid waterlogging during monsoon, apply Bordeaux mixture or systemic fungicide as a preventive drench, remove and destroy collapsed vines promptly."
cardamom_katte,viral,Cardamom Mosaic (Katte Disease),Cardamom mosaic virus,leaf_any;leaf_distortion;streak;vein_clearing;yellow;whole,"Chlorotic streaks run parallel to leaf veins on cardamom, with leaves becoming narrow, distorted, and mottled as the whole plant becomes progressively stunted and unproductive.","Rogue and destroy infected clumps immediately, control aphid vectors, use virus-tested planting material, avoid taking suckers from symptomatic clumps."
cinnamon_leaf_spot,fungal,Cinnamon Leaf Spot,Colletotrichum gloeosporioides,leaf_any;spots_circular;brown;black;wet;humid,"Small brown spots with darker margins appear scattered across cinnamon leaves, enlarging and merging in prolonged wet weather to cause premature leaf drop and weakened shoots.","Prune for airflow and remove fallen infected leaves, avoid overhead irrigation, apply copper-based fungicide during wet periods, maintain balanced fertilization."
root_knot_nematode,nematode,Root-Knot Nematode Disease,Meloidogyne spp.,root;galls;whole;yellow;wilting;warm,"Roots develop numerous small knotty galls that disrupt water and nutrient uptake, causing stunting, yellowing, and wilting in hot weather even when soil moisture is adequate.","Rotate with non-host crops such as marigold or grasses, solarize soil before planting, use resistant varieties where available, avoid moving infested soil or seedlings between plots."
banana_toppling_nematode,nematode,Burrowing Nematode / Banana Toppling Disease,Radopholus similis,root;rot_soft;black;whole;wilting,"Roots rot and turn reddish-black internally, weakening the plant’s anchorage until top-heavy, fruiting banana plants topple over, often without warning.","Use clean, nematode-free planting material (tissue-cultured plants where possible), rotate out of banana for a season, apply nematicide or organic soil amendments, remove and destroy fallen mats."
pepper_nematode_decline,nematode,Burrowing Nematode Decline (Black Pepper),Radopholus similis,root;whole;yellow;wilting,"Pepper vines decline slowly over one or more seasons, with yellowing leaves, thinning foliage, and reduced vigor as damaged roots lose their ability to support the plant.","Use certified nematode-free planting material, improve soil organic matter, apply nematicide to the root zone where infestation is confirmed, avoid replanting immediately in heavily infested beds."
citrus_slow_decline,nematode,Citrus Slow Decline,Tylenchulus semipenetrans,whole;leaf_any;yellow;necrosis,"Citrus trees decline gradually with smaller leaves, twig dieback, and reduced fruit size over several years — often mistaken for nutrient deficiency since there is no single dramatic symptom.","Test soil for nematode presence before planting new citrus, use tolerant rootstocks, maintain good irrigation and nutrition to reduce stress, apply nematicide where populations are high."
rice_white_tip,nematode,Rice White Tip Nematode,Aphelenchoides besseyi,leaf_new;tip_necrosis;white;leaf_distortion,"The tips of young leaves, especially the flag leaf, turn white or pale and twist, and affected panicles are often sterile or poorly filled — the nematode spreads mainly through infected seed.","Use certified, nematode-free seed, hot-water treat seed before sowing where infestation is suspected, rotate with non-host crops, avoid saving seed from affected fields."
potato_cyst_nematode,nematode,Potato Cyst Nematode,Globodera spp.,root;whole;yellow;wilting;cool,"Plants grow poorly in patches across the field, with yellowing and wilting foliage in circular zones; tiny cysts are visible on the roots when dug up, common in Sri Lanka’s cooler upcountry potato land.","Rotate with non-host crops for several years, use certified cyst-free seed potatoes, avoid moving infested soil between fields on tools or footwear, use resistant varieties where available."
